accepted_contributing_blocks,accepted_effective_blocks,accepted_measurement_samples,block_bootstrap_interval_high,block_bootstrap_interval_low,block_bootstrap_standard_error,boundary_excluded_origins,cube_candidate_origins,cube_id,curve_uncertainty_support_passes,curve_value,direction,directional_exclusion_counts_across_channels_json,directional_exclusion_invalid_B,directional_exclusion_invalid_q,directional_exclusion_weak_B_direction,directional_exclusion_weak_q_perp_for_phi,directional_exclusion_weak_r_perp_for_phi,displacement_count,eligible_origin_fraction,eligible_origins,ell_center_cells,ell_lower_cells,ell_upper_cells,intrinsic_eligible_origins,local_log_slope_diagnostic,local_log_slope_support_mask,pair_sampling_standard_error,q_name,sampled_origins,shell_index,shell_local_below_5pct_curve_overlay_threshold,shell_local_meets_10pct_slope_candidate_geometry_threshold,shell_local_meets_5pct_curve_overlay_threshold,shell_local_science_facing_overlay_supported,support_mode,support_policy_excluded_origins,valid_bootstrap_resamples,weak_shell_local_value_retained_as_flagged_diagnostic
347,241.33150137396953,1390,0.011094338894335167,0.00858280209778946,0.0006273371185475744,654731316,6291456000,L640_sub00370,True,0.009780446059871464,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,24,0.8959332599639892,5636724684,45.97553697348189,44.5,47.5,5636724684,1.348129100429476,True,0.0005404362518632419,B,49152,32,,,,,all_valid_origins,0,200,False
367,250.3294868647189,1428,0.01234621920325585,0.00941392507569327,0.0007562811022478137,695527540,6291456000,L640_sub00370,True,0.010769290563165161,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,24,0.8894488747914632,5595928460,48.977035434987286,47.5,50.5,5595928460,0.9633688077935028,True,0.0005988510251194268,B,49152,33,,,,,all_valid_origins,0,200,False
350,230.83345384429984,1384,0.014501345710999505,0.010644882096116652,0.0010150830314981283,734579876,6291456000,L640_sub00370,True,0.012320119478003365,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,24,0.883241673151652,5556876124,52.22068555658763,50.5,54.0,5556876124,0.875142083605682,True,0.0007413693967512264,B,49152,34,,,,,all_valid_origins,0,200,False
354,241.23603538107355,1411,0.011980409298371115,0.009870516502602162,0.000521164652148641,792437924,6291456000,L640_sub00370,True,0.010907071968564386,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,24,0.874045384089152,5499018076,55.72252686302013,54.0,57.5,5499018076,1.204289509952308,True,0.0005014004108257928,B,49152,35,,,,,all_valid_origins,0,200,False
361,242.04589932411983,1549,0.014496558426609352,0.01132938156729868,0.0007965244722134633,831148218,6291456000,L640_sub00370,True,0.012848634926827349,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,24,0.8678925485610962,5460307782,59.22415047934415,57.5,61.0,5460307782,1.2222806861830944,True,0.0006127413374700986,B,49152,36,,,,,all_valid_origins,0,200,False
348,237.94592274678112,1393,0.01739973343639199,0.013656172304795777,0.0010225472398801272,886149466,6291456000,L640_sub00370,True,0.015443514178817279,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,24,0.859150335629781,5405306534,62.96824596572466,61.0,65.0,5405306534,1.679989007294761,True,0.0007819239155156371,B,49152,37,,,,,all_valid_origins,0,200,False
372,250.90738423028785,1485,0.017354643564295367,0.013181435017860194,0.001130504240091488,938658882,6291456000,L640_sub00370,True,0.015160377829011763,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,24,0.8508041887283325,5352797118,66.97014260101288,65.0,69.0,5352797118,1.1877800130471816,True,0.0008329371942779793,B,49152,38,,,,,all_valid_origins,0,200,False
355,243.0228438228438,1444,0.019440038738332846,0.014509066976772334,0.001208388988657246,992437574,6291456000,L640_sub00370,True,0.016816835395890375,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,24,0.8422562958399454,5299018426,71.21446482281532,69.0,73.5,5299018426,1.2026405072329416,True,0.0008314002528140627,B,49152,39,,,,,all_valid_origins,0,200,False
340,221.6911334848977,1431,0.019759741669048213,0.015664013599779463,0.0009871024603967317,1058480720,6291456000,L640_sub00370,True,0.017808828399562094,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,24,0.8317590204874674,5232975280,75.95887044973747,73.5,78.5,5232975280,1.3668510138135894,True,0.0007442789071758004,B,49152,40,,,,,all_valid_origins,0,200,False
345,226.8927400468384,1392,0.023819813423241975,0.01797250322136503,0.0015254867659262054,1126177216,6291456000,L640_sub00370,True,0.020774382900805792,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,24,0.8209989522298177,5165278784,80.96141056083448,78.5,83.5,5165278784,0.8867391549738981,True,0.0010298856835018002,B,49152,41,,,,,all_valid_origins,0,200,False
359,227.2796108291032,1466,0.023387905081850117,0.018985975002090195,0.0011677592137149851,1191289730,6291456000,L640_sub00370,True,0.02102610264848745,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,24,0.8106495968500773,5100166270,86.20614827261453,83.5,89.0,5100166270,0.5275510093577033,True,0.0009718550310099409,B,49152,42,,,,,all_valid_origins,0,200,False
341,221.3965406790519,1440,0.023183124617323157,0.018227694563280276,0.0012619773478318727,1268964924,6291456000,L640_sub00370,True,0.020533273997083473,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,24,0.7983034572601319,5022491076,91.95107394696377,89.0,95.0,5022491076,0.5821370042660654,True,0.0008651265059315593,B,49152,43,,,,,all_valid_origins,0,200,False
335,206.58580820675584,1350,0.023011759462704763,0.01925715099281536,0.001054822356194879,1344558286,6291456000,L640_sub00370,True,0.021187337784516955,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,24,0.7862882159550985,4946897714,97.95407086997457,95.0,101.0,4946897714,1.1003061818207125,True,0.0009017413512205788,B,49152,44,,,,,all_valid_origins,0,200,False
340,220.76357179096905,1475,0.02840393060344172,0.022293979993182642,0.0016585193065600198,1422327466,6291456000,L640_sub00370,True,0.024904548183146098,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,24,0.7739271376927693,4869128534,104.19932821280567,101.0,107.5,4869128534,1.2184098095361453,True,0.0010893149234683394,B,49152,45,,,,,all_valid_origins,0,200,False
334,214.6464374016633,1382,0.030326780502161626,0.02365553858843752,0.0017349941588179648,1509958204,6291456000,L640_sub00370,True,0.027030459334487087,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,24,0.7599986069997152,4781497796,110.94480609744649,107.5,114.5,4781497796,0.8790860020157224,True,0.0012436983022930358,B,49152,46,,,,,all_valid_origins,0,200,False
335,212.7306536827929,1433,0.02902616956779316,0.023791460858870257,0.0013336978383467096,1598879480,6291456000,L640_sub00370,True,0.026556696223017824,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,24,0.7458649508158366,4692576520,117.94808179873041,114.5,121.5,4692576520,0.7755967259457209,True,0.001053502343673839,B,49152,47,,,,,all_valid_origins,0,200,False
336,212.98960831334932,1460,0.029265512228557014,0.024577501284984933,0.001307058993758043,1686197486,6291456000,L640_sub00370,True,0.026850719409470248,parallel,"{""invalid_B"": 0, ""invalid_q"": 0, ""weak_B_direction"": 0, ""weak_q_perp_for_phi"": 0, ""weak_r_perp_for_phi"": 0}",0,0,0,0,0,24,0.7319861275355021,4605258514,125.193849689192,121.5,129.0,4605258514,0.91690996196426,True,0.0010204737410976334,B,49152,48,,,,,all_valid_origins,0,200,False
